id,description,link,shipping_settings,condition,title,availability,brand,sale_price,price,custom_label_0,image_link,custom_label_1,custom_label_2
10065,[하리보] 골드베어 투고 텀블러,https://www.wadiz.kr/web/store/detail/10065?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10065,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베어 투고 텀블러,in stock,와디즈,27000 KRW,32000.0 KRW,10065,https://cdn2.wadiz.kr/2024/11/26/38f5c5ea-16b8-4274-98c1-6632f7c89459.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10066,[하리보] 에코 보틀,https://www.wadiz.kr/web/store/detail/10066?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10066,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 에코 보틀,in stock,와디즈,6000 KRW,11000.0 KRW,10066,https://cdn2.wadiz.kr/2024/11/26/bc0aeede-6b9a-402f-9209-f5eb418e4d5f.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10067,[하리보] 골드베렌 2단 런치박스,https://www.wadiz.kr/web/store/detail/10067?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10067,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베렌 2단 런치박스 도시락통 찬합,in stock,와디즈,8000 KRW,13000.0 KRW,10067,https://cdn2.wadiz.kr/2024/11/26/c2345b38-4f7e-4c1c-a5e0-1acf03a166c0.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10068,[하리보] 골드베렌 런치박스 세트,https://www.wadiz.kr/web/store/detail/10068?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10068,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베렌 런치박스 도시락통 찬합 세트,in stock,와디즈,16000 KRW,21000.0 KRW,10068,https://cdn2.wadiz.kr/2024/11/26/cc993a0c-729b-4896-b4ac-1ec9c1f26bd6.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10069,[하리보] 골드베렌 푸드 콘테이너,https://www.wadiz.kr/web/store/detail/10069?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10069,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베렌 푸드 콘테이너,in stock,와디즈,6000 KRW,6000.0 KRW,10069,https://cdn2.wadiz.kr/2024/11/26/2fad00df-4215-4f49-bb6e-ff74d17d719a.png/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10070,[하리보] 치즈 컷팅 케이스,https://www.wadiz.kr/web/store/detail/10070?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10070,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 치즈 컷팅 케이스,in stock,와디즈,6500 KRW,6500.0 KRW,10070,https://cdn2.wadiz.kr/2024/11/26/e2db350e-4fb8-4759-8300-db0ce87cf774.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10071,[하리보] 골드베어 투명 컵,https://www.wadiz.kr/web/store/detail/10071?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10071,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베어 투명 컵,in stock,와디즈,9500 KRW,9500.0 KRW,10071,https://cdn2.wadiz.kr/2024/11/26/0f85866e-bdcc-468f-a7f4-7dfda6411f20.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10072,[하리보] 골드베어 뚜껑 한손 컵,https://www.wadiz.kr/web/store/detail/10072?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10072,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베어 뚜껑 한손 컵,in stock,와디즈,9000 KRW,9000.0 KRW,10072,https://cdn2.wadiz.kr/2024/11/26/8c549a7b-8d1e-4157-80d8-c358d17c7aae.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10074,[하리보] 실리콘 얼음 트레이,https://www.wadiz.kr/web/store/detail/10074?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10074,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 실리콘 얼음 트레이,in stock,와디즈,9000 KRW,14000.0 KRW,10074,https://cdn2.wadiz.kr/2024/11/26/6cf16841-1858-47e4-ab66-c80aa2c9f0b6.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10075,[하리보] 골드베어 냄비 받침대,https://www.wadiz.kr/web/store/detail/10075?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10075,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베어 냄비 받침대,in stock,와디즈,6000 KRW,11000.0 KRW,10075,https://cdn2.wadiz.kr/2024/11/26/661fc6fa-e6de-4dd6-9da2-a0aec3715250.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
